tick_id,phase,elapsed_nanos,queue_wait_nanos
1,IngressCapture,60300,
1,DecodeAndCanonicalize,6500,
1,ApplyInputs,24400,
1,ProcessorPlan,5118300,
1,CrossWorldPrepare,21200,
1,NativeJobBarrier,1100,
1,CommitDecision,500,
1,VoxelCommit,6600,
1,EcsCommandBufferCommit,275900,
1,GasAndEventFinalize,43100,
1,ReplicationProjection,37500,
1,SnapshotHashMetrics,600,
1,EgressPublish,9983800,
2,IngressCapture,7900,
2,DecodeAndCanonicalize,900,
2,ApplyInputs,8400,
2,ProcessorPlan,568100,
2,CrossWorldPrepare,3800,
2,NativeJobBarrier,600,
2,CommitDecision,600,
2,VoxelCommit,2579000,
2,EcsCommandBufferCommit,42500,
2,GasAndEventFinalize,6400,
2,ReplicationProjection,8300,
2,SnapshotHashMetrics,300,
2,EgressPublish,8909800,
3,IngressCapture,7400,
3,DecodeAndCanonicalize,600,
3,ApplyInputs,7500,
3,ProcessorPlan,3843400,
3,CrossWorldPrepare,7700,
3,NativeJobBarrier,900,
3,CommitDecision,600,
3,VoxelCommit,2400,
3,EcsCommandBufferCommit,42900,
3,GasAndEventFinalize,6400,
3,ReplicationProjection,9300,
3,SnapshotHashMetrics,600,
3,EgressPublish,9127400,
4,IngressCapture,6600,
4,DecodeAndCanonicalize,400,
4,ApplyInputs,7400,
4,ProcessorPlan,4013900,
4,CrossWorldPrepare,10300,
4,NativeJobBarrier,700,
4,CommitDecision,700,
4,VoxelCommit,3200,
4,EcsCommandBufferCommit,51900,
4,GasAndEventFinalize,10900,
4,ReplicationProjection,11600,
4,SnapshotHashMetrics,2100,
4,EgressPublish,9664600,
5,IngressCapture,9000,
5,DecodeAndCanonicalize,600,
5,ApplyInputs,11000,
5,ProcessorPlan,3957300,
5,CrossWorldPrepare,8200,
5,NativeJobBarrier,600,
5,CommitDecision,500,
5,VoxelCommit,2200,
5,EcsCommandBufferCommit,44500,
5,GasAndEventFinalize,6900,
5,ReplicationProjection,14100,
5,SnapshotHashMetrics,500,
5,EgressPublish,11969400,
6,IngressCapture,7800,
6,DecodeAndCanonicalize,1900,
6,ApplyInputs,10500,
6,ProcessorPlan,86400,
6,CrossWorldPrepare,2800,
6,NativeJobBarrier,800,
6,CommitDecision,3100,
6,VoxelCommit,2300,
6,EcsCommandBufferCommit,38200,
6,GasAndEventFinalize,5900,
6,ReplicationProjection,12400,
6,SnapshotHashMetrics,500,
6,EgressPublish,9966000,
7,IngressCapture,8900,
7,DecodeAndCanonicalize,1600,
7,ApplyInputs,9700,
7,ProcessorPlan,95700,
7,CrossWorldPrepare,3500,
7,NativeJobBarrier,600,
7,CommitDecision,700,
7,VoxelCommit,2800,
7,EcsCommandBufferCommit,40000,
7,GasAndEventFinalize,6500,
7,ReplicationProjection,11200,
7,SnapshotHashMetrics,600,
7,EgressPublish,10029400,
8,IngressCapture,7400,
8,DecodeAndCanonicalize,500,
8,ApplyInputs,8600,
8,ProcessorPlan,82800,
8,CrossWorldPrepare,2800,
8,NativeJobBarrier,600,
8,CommitDecision,500,
8,VoxelCommit,2100,
8,EcsCommandBufferCommit,32300,
8,GasAndEventFinalize,5700,
8,ReplicationProjection,8500,
8,SnapshotHashMetrics,500,
8,EgressPublish,8578300,
9,IngressCapture,25200,
9,DecodeAndCanonicalize,700,
9,ApplyInputs,444700,
9,ProcessorPlan,165900,
9,CrossWorldPrepare,5400,
9,NativeJobBarrier,500,
9,CommitDecision,800,
9,VoxelCommit,2800,
9,EcsCommandBufferCommit,1843200,
9,GasAndEventFinalize,622900,
9,ReplicationProjection,3330000,
9,SnapshotHashMetrics,4400,
9,EgressPublish,9378200,
10,IngressCapture,8900,
10,DecodeAndCanonicalize,500,
10,ApplyInputs,24900,
10,ProcessorPlan,110400,
10,CrossWorldPrepare,3500,
