tick_id,phase,elapsed_nanos,queue_wait_nanos
1,IngressCapture,48000,
1,DecodeAndCanonicalize,4300,
1,ApplyInputs,16600,
1,ProcessorPlan,3182100,
1,CrossWorldPrepare,9400,
1,NativeJobBarrier,400,
1,CommitDecision,300,
1,VoxelCommit,6000,
1,EcsCommandBufferCommit,188100,
1,GasAndEventFinalize,27000,
1,ReplicationProjection,25000,
1,SnapshotHashMetrics,300,
1,EgressPublish,11292500,
2,IngressCapture,6600,
2,DecodeAndCanonicalize,400,
2,ApplyInputs,7500,
2,ProcessorPlan,490600,
2,CrossWorldPrepare,4300,
2,NativeJobBarrier,400,
2,CommitDecision,300,
2,VoxelCommit,2138200,
2,EcsCommandBufferCommit,44100,
2,GasAndEventFinalize,4600,
2,ReplicationProjection,6300,
2,SnapshotHashMetrics,400,
2,EgressPublish,7762700,
3,IngressCapture,7200,
3,DecodeAndCanonicalize,400,
3,ApplyInputs,7300,
3,ProcessorPlan,2211700,
3,CrossWorldPrepare,4600,
3,NativeJobBarrier,300,
3,CommitDecision,300,
3,VoxelCommit,1900,
3,EcsCommandBufferCommit,28200,
3,GasAndEventFinalize,4000,
3,ReplicationProjection,7200,
3,SnapshotHashMetrics,400,
3,EgressPublish,7516600,
4,IngressCapture,6400,
4,DecodeAndCanonicalize,400,
4,ApplyInputs,9400,
4,ProcessorPlan,2155000,
4,CrossWorldPrepare,2700,
4,NativeJobBarrier,300,
4,CommitDecision,400,
4,VoxelCommit,2100,
4,EcsCommandBufferCommit,25700,
4,GasAndEventFinalize,5600,
4,ReplicationProjection,7400,
4,SnapshotHashMetrics,400,
4,EgressPublish,7469200,
5,IngressCapture,7600,
5,DecodeAndCanonicalize,300,
5,ApplyInputs,7800,
5,ProcessorPlan,2197600,
5,CrossWorldPrepare,3500,
5,NativeJobBarrier,500,
5,CommitDecision,400,
5,VoxelCommit,2200,
5,EcsCommandBufferCommit,31500,
5,GasAndEventFinalize,4900,
5,ReplicationProjection,10100,
5,SnapshotHashMetrics,400,
5,EgressPublish,8385900,
6,IngressCapture,7800,
6,DecodeAndCanonicalize,400,
6,ApplyInputs,7600,
6,ProcessorPlan,68500,
6,CrossWorldPrepare,2600,
6,NativeJobBarrier,400,
6,CommitDecision,400,
6,VoxelCommit,1400,
6,EcsCommandBufferCommit,24100,
6,GasAndEventFinalize,4000,
6,ReplicationProjection,7500,
6,SnapshotHashMetrics,300,
6,EgressPublish,27920400,
7,IngressCapture,9800,
7,DecodeAndCanonicalize,1000,
7,ApplyInputs,10900,
7,ProcessorPlan,116800,
7,CrossWorldPrepare,4200,
7,NativeJobBarrier,700,
7,CommitDecision,1000,
7,VoxelCommit,3000,
7,EcsCommandBufferCommit,39300,
7,GasAndEventFinalize,5500,
7,ReplicationProjection,9500,
7,SnapshotHashMetrics,500,
7,EgressPublish,11564200,
8,IngressCapture,23000,
8,DecodeAndCanonicalize,2400,
8,ApplyInputs,373800,
8,ProcessorPlan,98700,
8,CrossWorldPrepare,3500,
8,NativeJobBarrier,600,
8,CommitDecision,500,
8,VoxelCommit,3100,
8,EcsCommandBufferCommit,1291100,
8,GasAndEventFinalize,350300,
8,ReplicationProjection,1825700,
8,SnapshotHashMetrics,3100,
8,EgressPublish,9176400,
9,IngressCapture,7200,
9,DecodeAndCanonicalize,1500,
9,ApplyInputs,24400,
9,ProcessorPlan,112800,
9,CrossWorldPrepare,2600,
9,NativeJobBarrier,600,
9,CommitDecision,400,
9,VoxelCommit,2300,
9,EcsCommandBufferCommit,62700,
9,GasAndEventFinalize,7200,
9,ReplicationProjection,174600,
9,SnapshotHashMetrics,600,
9,EgressPublish,8010900,
10,IngressCapture,7600,
10,DecodeAndCanonicalize,1800,
10,ApplyInputs,9000,
10,ProcessorPlan,91200,
10,CrossWorldPrepare,2700,
10,NativeJobBarrier,500,
10,CommitDecision,600,
10,VoxelCommit,3000,
10,EcsCommandBufferCommit,66300,
10,GasAndEventFinalize,8700,
10,ReplicationProjection,187800,
10,SnapshotHashMetrics,700,
10,EgressPublish,8505300,
11,IngressCapture,6400,
11,DecodeAndCanonicalize,600,
11,ApplyInputs,7500,
11,ProcessorPlan,79900,
11,CrossWorldPrepare,2200,
11,NativeJobBarrier,500,
11,CommitDecision,400,
11,VoxelCommit,2100,
11,EcsCommandBufferCommit,53700,
11,GasAndEventFinalize,6600,
11,ReplicationProjection,155500,
